active_minutes,assistant_turns,best_visible_minutes,best_visible_score,binary_kb,branches_per_100_loc,cache_read_tokens,cohort,comment_lines,comment_ratio,compactions,condition,corpus_hidden,elapsed_minutes,final_build_seconds,first_build_minutes,functions,fuzz_macro,fuzz_per_million_output_tokens,fuzz_source,hangs,idle_minutes,inline_tests,input_tokens,language,largest_file_loc,max_function_loc,mean_function_loc,median_test_compile_ms,notes_files,output_tokens,output_tokens_per_active_minute,p90_function_loc,panics_or_throws,provider_retries,replicate,rounds,run_id,self_test_loc,self_test_programs,self_test_scripts,source_files,source_loc,source_loc_per_1k_output_tokens,termination,text_chars,thinking_chars,thinking_share,todo_markers,tool_calls,unsafe_blocks,unwrap_or_expect
75.6,322,75.8,1.0,626,11.9,23998339,v2,83,0.034,6,baseline,0.9583,75.8,0.46,45.0,67,1.0,4.118,post-hoc re-score,[],0.2,0,255694,rust,670,277,33.1,7.23,1,242834,3212,82,0,0,1,2,v2-baseline-r1,976,159,3,6,2406,9.91,visible_complete_after_review,15451,463215,0.968,0,330,0,30
45.0,35,90.1,0.9429,568,11.7,2507466,v2,62,0.035,0,baseline,0.8981,90.1,0.68,45.0,62,1.0,10.141,post-hoc re-score,"[{'round': 'round-000', 'tool': 'bash', 'command': 'cd /workspace && cat > scratch/t/s4c.c <<\'EOF\'\nint main(void) {\n    int a = 1;\n    int b = 0;\n    int r = (a == 1) && (b = 5);\n    return r * 100 + b;\n}\nEOF\ncargo build --release --offline 2>&1 | grep -E ""^error"" -A5\nfor t in ""s1a 42"" ""s1b 0"" ""s1c 8"" ""s2a 3"" ""s2b 0"" ""s2c 2"" ""s3a 9"" ""s3b 10"" ""s3c 135'}, {'round': 'round-001', 'tool': 'bash', 'command': 'cd /workspace && cargo build --release --offline 2>&1 | grep -cE ""^(error|warning)"" ; for t in ""s1a 42"" ""s1b 0"" ""s1c 8"" ""s2a 3"" ""s2b 0"" ""s2c 2"" ""s3a 9"" ""s3b 10"" ""s3c 135"" ""s3d 246"" ""s4a 4"" ""s4b 7"" ""s4c 105"" ""s4d 100"" ""s5a 20"" ""s5b 2"" ""s6a 2"" ""s6b 30"" ""s6c 11"" ""s7a 12"" ""s7b 2"" ""s8a 55"" ""s8b 5"" ""s8c 9'}]",45.1,8,57916,rust,1765,192,28.2,7.05,0,98612,2191,68,0,0,2,2,v2-baseline-r2,159,27,1,1,1765,17.9,round_timeout,1751,190097,0.991,0,40,0,32
61.3,56,106.3,0.9373,621,11.1,4296029,v2,57,0.028,0,baseline,0.8981,106.3,0.35,61.3,54,1.0,6.434,post-hoc re-score,"[{'round': 'round-001', 'tool': 'bash', 'command': 'cd /workspace && cargo build --release --offline 2>&1 | grep -cE ""^error""; cd /tmp/picc-test && PICC=/workspace/target/release/picc\nfor t in d1 d2 t1 t3; do $PICC $t.c -o $t.s && as -o $t.o $t.s && ld -o $t $t.o stub.o 2>/dev/null && ./$t; echo ""$t EXIT=$?""; done\n$PICC t2.c -o t2.s && as -o t2.o t2.'}, {'round': 'round-002', 'tool': 'bash', 'command': ""mkdir -p /tmp/picc-test && cd /tmp/picc-test && PICC=/workspace/target/release/picc\ncat > stub.s <<'EOF'\n.intel_syntax noprefix\n.global _start\n_start:\n    call main\n    mov edi, eax\n    and edi, 255\n    mov eax, 60\n    syscall\nEOF\nas -o stub.o stub.s\ncat > t1.c <<'EOF'\nint main(void) { return 42; }\n""}]",45.0,1,52714,rust,611,234,31.8,7.12,0,155434,2536,80,0,0,3,3,v2-baseline-r3,0,0,0,6,2061,13.26,round_timeout,2675,399720,0.993,0,61,0,39
46.5,163,90.0,1.0,572,11.7,12475062,v2,65,0.029,2,prompt-minimal,0.9583,90.0,0.41,45.0,73,1.0,6.366,post-hoc re-score,"[{'round': 'round-001', 'tool': 'bash', 'command': ""cd /tmp/pc/tests && cat > h1.c <<'EOF'\n/* nested loops: break/continue targeting */\nint main(void) {\n    int r = 0;\n    int i = 0;\n    while (i < 5) {\n        int j = 0;\n        while (j < 5) {\n            if (j == 2) { i = i + 1; continue; }\n            if (i == 3) { break; }\n            r = r + i ""}]",43.5,5,137945,rust,880,242,28.7,7.08,0,157092,3378,73,0,0,1,2,v2-prompt-minimal-r1,0,0,0,6,2268,14.44,round_timeout,6150,322652,0.981,0,167,0,49
89.6,295,90.0,1.0,598,13.9,23518582,v2,102,0.047,7,prompt-minimal,0.9583,90.0,0.44,90.0,74,1.0,3.38,post-hoc re-score,[],0.4,0,264071,rust,779,171,27.8,7.36,0,295839,3302,68,0,0,2,2,v2-prompt-minimal-r2,2081,126,8,5,2155,7.28,round_timeout,15957,687147,0.977,0,312,0,33
54.6,102,45.0,0.9548,565,14.1,9118807,v2,47,0.023,4,prompt-minimal,0.0,90.0,,45.0,57,1.0,5.426,post-hoc re-score,"[{'round': 'round-001', 'tool': 'bash', 'command': '/workspace/tools/fuzz.sh 0 40 2>&1 | tail -15'}]",35.4,0,190246,rust,633,315,31.4,,0,184289,3375,67,0,0,3,2,v2-prompt-minimal-r3,40,0,1,6,2034,11.04,round_timeout,5557,400098,0.986,0,108,0,33
45.0,45,90.1,0.9369,598,10.8,3621116,v2,74,0.032,0,spec-architecture,0.8704,90.1,0.38,45.0,79,0.82,8.13,post-hoc re-score,"[{'round': 'round-000', 'tool': 'bash', 'command': 'cd /workspace && cargo build --release --offline 2>&1 | grep -E ""^error"" ; cd /tmp/picctest && ./battery.sh \\\n  s2:251 s3:10 s3b:225 s4:3 s4b:5 s5:17 s6:18 s6b:2 s7:1 \\\n  s8:18 s8b:8 s8c:4 s8d:13 s9:15 s9b:800 s9c:42 s9d:36 s10:14 s10b:123'}, {'round': 'round-001', 'tool': 'bash', 'command': 'mkdir -p /tmp/picctest/tests && cd /tmp/picctest\ncat > stub.s <<\'EOF\'\n\t.globl\t_start\n_start:\n\tcall\tmain\n\tmovl\t%eax, %edi\n\tmovl\t$60, %eax\n\tsyscall\nEOF\nas -o stub.o stub.s\ncat > run.sh <<\'EOF\'\n#!/bin/bash\nas -o /tmp/picctest/t.o ""$1"" 2>/tmp/picctest/as.err || { echo ""AS FAIL:""; cat /tmp/picctest/as.er'}]",45.1,0,51446,rust,681,163,25.4,7.16,0,100864,2241,66,0,0,1,2,v2-spec-architecture-r1,0,0,0,7,2280,22.6,round_timeout,1514,201325,0.993,0,55,0,38
72.2,197,90.0,0.9413,588,8.6,14816455,v2,76,0.027,6,spec-architecture,0.8634,90.0,0.36,45.0,79,0.9683,4.016,post-hoc re-score,"[{'round': 'round-001', 'tool': 'bash', 'command': ""cd /tmp/picc-dev && cat > difffuzz.py <<'PYEOF'\nimport random, subprocess, sys\nsys.path.insert(0, '/tmp/picc-dev')\nimport oracle\n\ndef gen(seed):\n    random.seed(seed)\n    NAMES = ['a','b','c','d','x','y','n']\n    def expr(depth):\n        if depth <= 0 or random.random() < 0.35:\n            return ra""}]",17.8,3,249656,rust,627,243,31.0,7.14,1,241134,3340,79,0,0,2,2,v2-spec-architecture-r2,0,0,0,7,2770,11.49,round_timeout,9815,427368,0.978,0,203,0,36
74.9,213,90.0,1.0,613,8.7,16817726,v2,127,0.043,4,spec-architecture,0.9583,90.0,0.43,45.0,89,1.0,4.313,post-hoc re-score,"[{'round': 'round-001', 'tool': 'bash', 'command': 'cd /workspace && python3 dev/fuzz.py 500 1000 2>&1 | tail -20'}]",15.1,0,196594,rust,790,293,27.7,7.16,1,231884,3096,73,0,0,3,2,v2-spec-architecture-r3,310,1,2,7,2965,12.79,round_timeout,10206,438443,0.977,0,252,0,41
118.7,247,120.0,1.0,606,10.4,18794994,v2,116,0.046,8,spec-brief,0.9583,120.0,0.47,45.0,86,1.0,2.763,post-hoc re-score,[],1.3,0,302591,rust,980,212,27.2,7.32,1,361987,3050,57,0,0,1,4,v2-spec-brief-r1,0,0,0,5,2540,7.02,visible_complete_after_review,35972,909555,0.962,0,243,0,35
